Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
315.66	20.564	undefined	3.1609	3.5314	10.762	1000.0	0.0010000	3.1609	3.5314	10.762	72.201	74.462	1568.5	-0.21076	0.00062599	0.64346	1000.0	0.0010000	3.1609	3.5314	10.762	72.201	74.462	1568.5	-0.21076	0.00062599	0.64346
316.16	21.053	undefined	3.1970	3.5763	10.876	1000.0	0.0010000	3.1970	3.5763	10.876	72.142	74.448	1570.1	-0.21049	0.00062052	0.64437	1000.0	0.0010000	3.1970	3.5763	10.876	72.142	74.448	1570.1	-0.21049	0.00062052	0.64437
316.66	21.547	undefined	3.2331	3.6213	10.990	1000.0	0.0010000	3.2331	3.6213	10.990	72.083	74.433	1571.7	-0.21023	0.00061514	0.64527	1000.0	0.0010000	3.2331	3.6213	10.990	72.083	74.433	1571.7	-0.21023	0.00061514	0.64527
317.16	22.046	undefined	3.2691	3.6663	11.104	1000.0	0.0010000	3.2691	3.6663	11.104	72.023	74.419	1573.4	-0.20996	0.00060984	0.64617	1000.0	0.0010000	3.2691	3.6663	11.104	72.023	74.419	1573.4	-0.20996	0.00060984	0.64617
317.66	22.550	undefined	3.3051	3.7114	11.217	1000.0	0.0010000	3.3051	3.7114	11.217	71.964	74.404	1575.0	-0.20970	0.00060462	0.64707	1000.0	0.0010000	3.3051	3.7114	11.217	71.964	74.404	1575.0	-0.20970	0.00060462	0.64707
318.16	23.058	undefined	3.3411	3.7565	11.330	1000.0	0.0010000	3.3411	3.7565	11.330	71.905	74.390	1576.6	-0.20944	0.00059949	0.64796	1000.0	0.0010000	3.3411	3.7565	11.330	71.905	74.390	1576.6	-0.20944	0.00059949	0.64796
318.66	23.570	undefined	3.3770	3.8016	11.443	1000.0	0.0010000	3.3770	3.8016	11.443	71.845	74.375	1578.2	-0.20919	0.00059443	0.64886	1000.0	0.0010000	3.3770	3.8016	11.443	71.845	74.375	1578.2	-0.20919	0.00059443	0.64886
319.16	24.087	undefined	3.4129	3.8469	11.556	1000.0	0.0010000	3.4129	3.8469	11.556	71.786	74.361	1579.8	-0.20893	0.00058945	0.64974	1000.0	0.0010000	3.4129	3.8469	11.556	71.786	74.361	1579.8	-0.20893	0.00058945	0.64974
319.66	24.609	undefined	3.4488	3.8921	11.668	1000.0	0.0010000	3.4488	3.8921	11.668	71.726	74.346	1581.4	-0.20868	0.00058454	0.65063	1000.0	0.0010000	3.4488	3.8921	11.668	71.726	74.346	1581.4	-0.20868	0.00058454	0.65063
320.16	25.135	undefined	3.4847	3.9375	11.780	1000.0	0.0010000	3.4847	3.9375	11.780	71.666	74.332	1583.0	-0.20842	0.00057971	0.65151	1000.0	0.0010000	3.4847	3.9375	11.780	71.666	74.332	1583.0	-0.20842	0.00057971	0.65151
320.66	25.666	undefined	3.5205	3.9828	11.892	1000.0	0.0010000	3.5205	3.9828	11.892	71.606	74.317	1584.6	-0.20817	0.00057495	0.65240	1000.0	0.0010000	3.5205	3.9828	11.892	71.606	74.317	1584.6	-0.20817	0.00057495	0.65240
321.16	26.201	undefined	3.5563	4.0283	12.004	1000.0	0.0010000	3.5563	4.0283	12.004	71.546	74.303	1586.2	-0.20792	0.00057027	0.65327	1000.0	0.0010000	3.5563	4.0283	12.004	71.546	74.303	1586.2	-0.20792	0.00057027	0.65327
321.66	26.740	undefined	3.5920	4.0737	12.115	1000.0	0.0010000	3.5920	4.0737	12.115	71.486	74.289	1587.8	-0.20768	0.00056565	0.65415	1000.0	0.0010000	3.5920	4.0737	12.115	71.486	74.289	1587.8	-0.20768	0.00056565	0.65415
322.16	27.284	undefined	3.6277	4.1193	12.226	1000.0	0.0010000	3.6277	4.1193	12.226	71.426	74.274	1589.4	-0.20743	0.00056110	0.65502	1000.0	0.0010000	3.6277	4.1193	12.226	71.426	74.274	1589.4	-0.20743	0.00056110	0.65502
322.66	27.832	undefined	3.6634	4.1648	12.337	1000.0	0.0010000	3.6634	4.1648	12.337	71.366	74.260	1590.9	-0.20719	0.00055662	0.65589	1000.0	0.0010000	3.6634	4.1648	12.337	71.366	74.260	1590.9	-0.20719	0.00055662	0.65589
323.16	28.384	undefined	3.6991	4.2105	12.447	1000.0	0.0010000	3.6991	4.2105	12.447	71.306	74.245	1592.5	-0.20694	0.00055220	0.65676	1000.0	0.0010000	3.6991	4.2105	12.447	71.306	74.245	1592.5	-0.20694	0.00055220	0.65676
323.66	28.941	undefined	3.7347	4.2561	12.557	1000.0	0.0010000	3.7347	4.2561	12.557	71.246	74.231	1594.1	-0.20670	0.00054785	0.65762	1000.0	0.0010000	3.7347	4.2561	12.557	71.246	74.231	1594.1	-0.20670	0.00054785	0.65762
324.16	29.502	undefined	3.7704	4.3018	12.667	1000.0	0.0010000	3.7704	4.3018	12.667	71.185	74.216	1595.6	-0.20646	0.00054356	0.65848	1000.0	0.0010000	3.7704	4.3018	12.667	71.185	74.216	1595.6	-0.20646	0.00054356	0.65848
324.66	30.067	undefined	3.8059	4.3476	12.777	1000.0	0.0010000	3.8059	4.3476	12.777	71.125	74.202	1597.2	-0.20623	0.00053934	0.65934	1000.0	0.0010000	3.8059	4.3476	12.777	71.125	74.202	1597.2	-0.20623	0.00053934	0.65934
325.16	30.636	undefined	3.8415	4.3934	12.886	1000.0	0.0010000	3.8415	4.3934	12.886	71.065	74.188	1598.8	-0.20599	0.00053517	0.66020	1000.0	0.0010000	3.8415	4.3934	12.886	71.065	74.188	1598.8	-0.20599	0.00053517	0.66020
325.66	31.209	undefined	3.8770	4.4392	12.995	1000.0	0.0010000	3.8770	4.4392	12.995	71.004	74.173	1600.3	-0.20576	0.00053107	0.66105	1000.0	0.0010000	3.8770	4.4392	12.995	71.004	74.173	1600.3	-0.20576	0.00053107	0.66105
326.16	31.787	undefined	3.9125	4.4851	13.104	1000.0	0.0010000	3.9125	4.4851	13.104	70.944	74.159	1601.9	-0.20552	0.00052702	0.66190	1000.0	0.0010000	3.9125	4.4851	13.104	70.944	74.159	1601.9	-0.20552	0.00052702	0.66190
326.66	32.368	undefined	3.9479	4.5311	13.213	1000.0	0.0010000	3.9479	4.5311	13.213	70.884	74.144	1603.4	-0.20529	0.00052303	0.66275	1000.0	0.0010000	3.9479	4.5311	13.213	70.884	74.144	1603.4	-0.20529	0.00052303	0.66275
327.16	32.953	undefined	3.9834	4.5770	13.321	1000.0	0.0010000	3.9834	4.5770	13.321	70.823	74.130	1605.0	-0.20506	0.00051910	0.66359	1000.0	0.0010000	3.9834	4.5770	13.321	70.823	74.130	1605.0	-0.20506	0.00051910	0.66359
327.66	33.543	undefined	4.0188	4.6231	13.429	1000.0	0.0010000	4.0188	4.6231	13.429	70.763	74.115	1606.5	-0.20483	0.00051522	0.66443	1000.0	0.0010000	4.0188	4.6231	13.429	70.763	74.115	1606.5	-0.20483	0.00051522	0.66443
328.16	34.136	undefined	4.0541	4.6691	13.537	1000.0	0.0010000	4.0541	4.6691	13.537	70.702	74.101	1608.0	-0.20461	0.00051140	0.66527	1000.0	0.0010000	4.0541	4.6691	13.537	70.702	74.101	1608.0	-0.20461	0.00051140	0.66527
328.66	34.734	undefined	4.0895	4.7152	13.645	1000.0	0.0010000	4.0895	4.7152	13.645	70.642	74.086	1609.6	-0.20438	0.00050763	0.66611	1000.0	0.0010000	4.0895	4.7152	13.645	70.642	74.086	1609.6	-0.20438	0.00050763	0.66611
329.16	35.335	undefined	4.1248	4.7613	13.752	1000.0	0.0010000	4.1248	4.7613	13.752	70.581	74.072	1611.1	-0.20416	0.00050392	0.66694	1000.0	0.0010000	4.1248	4.7613	13.752	70.581	74.072	1611.1	-0.20416	0.00050392	0.66694
329.66	35.940	undefined	4.1600	4.8075	13.859	1000.0	0.0010000	4.1600	4.8075	13.859	70.521	74.057	1612.6	-0.20394	0.00050025	0.66777	1000.0	0.0010000	4.1600	4.8075	13.859	70.521	74.057	1612.6	-0.20394	0.00050025	0.66777
330.16	36.550	undefined	4.1953	4.8537	13.966	1000.0	0.0010000	4.1953	4.8537	13.966	70.460	74.043	1614.1	-0.20372	0.00049664	0.66860	1000.0	0.0010000	4.1953	4.8537	13.966	70.460	74.043	1614.1	-0.20372	0.00049664	0.66860
330.66	37.162	undefined	4.2305	4.9000	14.073	1000.0	0.0010000	4.2305	4.9000	14.073	70.400	74.028	1615.6	-0.20350	0.00049308	0.66943	1000.0	0.0010000	4.2305	4.9000	14.073	70.400	74.028	1615.6	-0.20350	0.00049308	0.66943
331.16	37.779	undefined	4.2657	4.9463	14.179	1000.0	0.0010000	4.2657	4.9463	14.179	70.339	74.013	1617.2	-0.20328	0.00048956	0.67025	1000.0	0.0010000	4.2657	4.9463	14.179	70.339	74.013	1617.2	-0.20328	0.00048956	0.67025
331.66	38.400	undefined	4.3008	4.9926	14.285	1000.0	0.0010000	4.3008	4.9926	14.285	70.278	73.999	1618.7	-0.20306	0.00048610	0.67107	1000.0	0.0010000	4.3008	4.9926	14.285	70.278	73.999	1618.7	-0.20306	0.00048610	0.67107
332.16	39.024	undefined	4.3360	5.0390	14.391	1000.0	0.0010000	4.3360	5.0390	14.391	70.218	73.984	1620.2	-0.20285	0.00048268	0.67189	1000.0	0.0010000	4.3360	5.0390	14.391	70.218	73.984	1620.2	-0.20285	0.00048268	0.67189
332.66	39.652	undefined	4.3711	5.0854	14.496	1000.0	0.0010000	4.3711	5.0854	14.496	70.157	73.970	1621.7	-0.20264	0.00047930	0.67270	1000.0	0.0010000	4.3711	5.0854	14.496	70.157	73.970	1621.7	-0.20264	0.00047930	0.67270
333.16	40.284	undefined	4.4061	5.1318	14.602	1000.0	0.0010000	4.4061	5.1318	14.602	70.097	73.955	1623.2	-0.20242	0.00047598	0.67352	1000.0	0.0010000	4.4061	5.1318	14.602	70.097	73.955	1623.2	-0.20242	0.00047598	0.67352
333.66	40.919	undefined	4.4412	5.1783	14.707	1000.0	0.0010000	4.4412	5.1783	14.707	70.037	73.940	1624.7	-0.20221	0.00047269	0.67433	1000.0	0.0010000	4.4412	5.1783	14.707	70.037	73.940	1624.7	-0.20221	0.00047269	0.67433
334.16	41.558	undefined	4.4762	5.2248	14.812	1000.0	0.0010000	4.4762	5.2248	14.812	69.976	73.926	1626.2	-0.20200	0.00046946	0.67513	1000.0	0.0010000	4.4762	5.2248	14.812	69.976	73.926	1626.2	-0.20200	0.00046946	0.67513
334.66	42.200	undefined	4.5111	5.2714	14.916	1000.0	0.0010000	4.5111	5.2714	14.916	69.916	73.911	1627.7	-0.20180	0.00046626	0.67594	1000.0	0.0010000	4.5111	5.2714	14.916	69.916	73.911	1627.7	-0.20180	0.00046626	0.67594
335.16	42.846	undefined	4.5461	5.3180	15.021	1000.0	0.0010000	4.5461	5.3180	15.021	69.855	73.896	1629.1	-0.20159	0.00046311	0.67674	1000.0	0.0010000	4.5461	5.3180	15.021	69.855	73.896	1629.1	-0.20159	0.00046311	0.67674
335.66	43.496	undefined	4.5810	5.3646	15.125	1000.0	0.0010000	4.5810	5.3646	15.125	69.795	73.882	1630.6	-0.20139	0.00046000	0.67754	1000.0	0.0010000	4.5810	5.3646	15.125	69.795	73.882	1630.6	-0.20139	0.00046000	0.67754
336.16	44.149	undefined	4.6159	5.4112	15.228	1000.0	0.0010000	4.6159	5.4112	15.228	69.735	73.867	1632.1	-0.20118	0.00045693	0.67834	1000.0	0.0010000	4.6159	5.4112	15.228	69.735	73.867	1632.1	-0.20118	0.00045693	0.67834
336.66	44.806	undefined	4.6507	5.4579	15.332	1000.0	0.0010000	4.6507	5.4579	15.332	69.674	73.852	1633.6	-0.20098	0.00045390	0.67913	1000.0	0.0010000	4.6507	5.4579	15.332	69.674	73.852	1633.6	-0.20098	0.00045390	0.67913
337.16	45.466	undefined	4.6856	5.5046	15.435	1000.0	0.0010000	4.6856	5.5046	15.435	69.614	73.837	1635.1	-0.20078	0.00045091	0.67992	1000.0	0.0010000	4.6856	5.5046	15.435	69.614	73.837	1635.1	-0.20078	0.00045091	0.67992
337.66	46.130	undefined	4.7203	5.5514	15.539	1000.0	0.0010000	4.7203	5.5514	15.539	69.554	73.823	1636.5	-0.20058	0.00044796	0.68071	1000.0	0.0010000	4.7203	5.5514	15.539	69.554	73.823	1636.5	-0.20058	0.00044796	0.68071
338.16	46.797	undefined	4.7551	5.5982	15.641	1000.0	0.0010000	4.7551	5.5982	15.641	69.494	73.808	1638.0	-0.20038	0.00044505	0.68150	1000.0	0.0010000	4.7551	5.5982	15.641	69.494	73.808	1638.0	-0.20038	0.00044505	0.68150
338.66	47.467	undefined	4.7898	5.6450	15.744	1000.0	0.0010000	4.7898	5.6450	15.744	69.434	73.793	1639.5	-0.20019	0.00044217	0.68229	1000.0	0.0010000	4.7898	5.6450	15.744	69.434	73.793	1639.5	-0.20019	0.00044217	0.68229
339.16	48.141	undefined	4.8245	5.6918	15.846	1000.0	0.0010000	4.8245	5.6918	15.846	69.373	73.778	1640.9	-0.19999	0.00043934	0.68307	1000.0	0.0010000	4.8245	5.6918	15.846	69.373	73.778	1640.9	-0.19999	0.00043934	0.68307
339.66	48.818	undefined	4.8592	5.7387	15.949	1000.0	0.0010000	4.8592	5.7387	15.949	69.313	73.763	1642.4	-0.19980	0.00043654	0.68385	1000.0	0.0010000	4.8592	5.7387	15.949	69.313	73.763	1642.4	-0.19980	0.00043654	0.68385
340.16	49.499	undefined	4.8939	5.7856	16.051	1000.0	0.0010000	4.8939	5.7856	16.051	69.253	73.749	1643.8	-0.19960	0.00043377	0.68463	1000.0	0.0010000	4.8939	5.7856	16.051	69.253	73.749	1643.8	-0.19960	0.00043377	0.68463
340.66	50.183	undefined	4.9285	5.8325	16.152	1000.0	0.0010000	4.9285	5.8325	16.152	69.193	73.734	1645.3	-0.19941	0.00043104	0.68540	1000.0	0.0010000	4.9285	5.8325	16.152	69.193	73.734	1645.3	-0.19941	0.00043104	0.68540
341.16	50.870	undefined	4.9630	5.8795	16.254	1000.0	0.0010000	4.9630	5.8795	16.254	69.134	73.719	1646.8	-0.19922	0.00042835	0.68618	1000.0	0.0010000	4.9630	5.8795	16.254	69.134	73.719	1646.8	-0.19922	0.00042835	0.68618
341.66	51.560	undefined	4.9976	5.9265	16.355	1000.0	0.0010000	4.9976	5.9265	16.355	69.074	73.704	1648.2	-0.19903	0.00042569	0.68695	1000.0	0.0010000	4.9976	5.9265	16.355	69.074	73.704	1648.2	-0.19903	0.00042569	0.68695
342.16	52.254	undefined	5.0321	5.9735	16.456	1000.0	0.0010000	5.0321	5.9735	16.456	69.014	73.689	1649.6	-0.19885	0.00042306	0.68772	1000.0	0.0010000	5.0321	5.9735	16.456	69.014	73.689	1649.6	-0.19885	0.00042306	0.68772
342.66	52.951	undefined	5.0666	6.0205	16.557	1000.0	0.0010000	5.0666	6.0205	16.557	68.954	73.674	1651.1	-0.19866	0.00042047	0.68848	1000.0	0.0010000	5.0666	6.0205	16.557	68.954	73.674	1651.1	-0.19866	0.00042047	0.68848
343.16	53.650	undefined	5.1011	6.0676	16.657	1000.0	0.0010000	5.1011	6.0676	16.657	68.895	73.659	1652.5	-0.19847	0.00041790	0.68925	1000.0	0.0010000	5.1011	6.0676	16.657	68.895	73.659	1652.5	-0.19847	0.00041790	0.68925
343.66	54.354	undefined	5.1355	6.1147	16.757	1000.0	0.0010000	5.1355	6.1147	16.757	68.835	73.644	1654.0	-0.19829	0.00041537	0.69001	1000.0	0.0010000	5.1355	6.1147	16.757	68.835	73.644	1654.0	-0.19829	0.00041537	0.69001
344.16	55.060	undefined	5.1699	6.1618	16.857	1000.0	0.0010000	5.1699	6.1618	16.857	68.776	73.629	1655.4	-0.19811	0.00041288	0.69077	1000.0	0.0010000	5.1699	6.1618	16.857	68.776	73.629	1655.4	-0.19811	0.00041288	0.69077
344.66	55.769	undefined	5.2043	6.2090	16.957	1000.0	0.0010000	5.2043	6.2090	16.957	68.716	73.614	1656.8	-0.19793	0.00041041	0.69153	1000.0	0.0010000	5.2043	6.2090	16.957	68.716	73.614	1656.8	-0.19793	0.00041041	0.69153
345.16	56.482	undefined	5.2386	6.2562	17.057	1000.0	0.0010000	5.2386	6.2562	17.057	68.657	73.599	1658.3	-0.19775	0.00040797	0.69228	1000.0	0.0010000	5.2386	6.2562	17.057	68.657	73.599	1658.3	-0.19775	0.00040797	0.69228
345.66	57.197	undefined	5.2729	6.3034	17.156	1000.0	0.0010000	5.2729	6.3034	17.156	68.598	73.584	1659.7	-0.19757	0.00040557	0.69304	1000.0	0.0010000	5.2729	6.3034	17.156	68.598	73.584	1659.7	-0.19757	0.00040557	0.69304
346.16	57.915	undefined	5.3072	6.3506	17.255	1000.0	0.0010000	5.3072	6.3506	17.255	68.539	73.569	1661.1	-0.19739	0.00040319	0.69379	1000.0	0.0010000	5.3072	6.3506	17.255	68.539	73.569	1661.1	-0.19739	0.00040319	0.69379
346.66	58.637	undefined	5.3415	6.3978	17.354	1000.0	0.0010000	5.3415	6.3978	17.354	68.479	73.554	1662.5	-0.19721	0.00040084	0.69454	1000.0	0.0010000	5.3415	6.3978	17.354	68.479	73.554	1662.5	-0.19721	0.00040084	0.69454
347.16	59.362	undefined	5.3757	6.4451	17.453	1000.0	0.0010000	5.3757	6.4451	17.453	68.420	73.539	1664.0	-0.19704	0.00039852	0.69528	1000.0	0.0010000	5.3757	6.4451	17.453	68.420	73.539	1664.0	-0.19704	0.00039852	0.69528
347.66	60.089	undefined	5.4099	6.4924	17.551	1000.0	0.0010000	5.4099	6.4924	17.551	68.361	73.524	1665.4	-0.19686	0.00039623	0.69603	1000.0	0.0010000	5.4099	6.4924	17.551	68.361	73.524	1665.4	-0.19686	0.00039623	0.69603
348.16	60.819	undefined	5.4441	6.5397	17.649	1000.0	0.0010000	5.4441	6.5397	17.649	68.303	73.509	1666.8	-0.19669	0.00039397	0.69677	1000.0	0.0010000	5.4441	6.5397	17.649	68.303	73.509	1666.8	-0.19669	0.00039397	0.69677
348.66	61.553	undefined	5.4782	6.5871	17.747	1000.0	0.0010000	5.4782	6.5871	17.747	68.244	73.494	1668.2	-0.19652	0.00039173	0.69752	1000.0	0.0010000	5.4782	6.5871	17.747	68.244	73.494	1668.2	-0.19652	0.00039173	0.69752
349.16	62.289	undefined	5.5123	6.6345	17.845	1000.0	0.0010000	5.5123	6.6345	17.845	68.185	73.479	1669.6	-0.19635	0.00038952	0.69825	1000.0	0.0010000	5.5123	6.6345	17.845	68.185	73.479	1669.6	-0.19635	0.00038952	0.69825
349.66	63.028	undefined	5.5464	6.6819	17.943	1000.0	0.0010000	5.5464	6.6819	17.943	68.126	73.463	1671.0	-0.19618	0.00038734	0.69899	1000.0	0.0010000	5.5464	6.6819	17.943	68.126	73.463	1671.0	-0.19618	0.00038734	0.69899
350.16	63.770	undefined	5.5804	6.7293	18.040	1000.0	0.0010000	5.5804	6.7293	18.040	68.068	73.448	1672.4	-0.19601	0.00038519	0.69973	1000.0	0.0010000	5.5804	6.7293	18.040	68.068	73.448	1672.4	-0.19601	0.00038519	0.69973
350.66	64.515	undefined	5.6145	6.7767	18.137	1000.0	0.0010000	5.6145	6.7767	18.137	68.010	73.433	1673.8	-0.19584	0.00038306	0.70046	1000.0	0.0010000	5.6145	6.7767	18.137	68.010	73.433	1673.8	-0.19584	0.00038306	0.70046
351.16	65.263	undefined	5.6484	6.8242	18.234	1000.0	0.0010000	5.6484	6.8242	18.234	67.951	73.418	1675.2	-0.19568	0.00038095	0.70119	1000.0	0.0010000	5.6484	6.8242	18.234	67.951	73.418	1675.2	-0.19568	0.00038095	0.70119
351.66	66.013	undefined	5.6824	6.8717	18.331	1000.0	0.0010000	5.6824	6.8717	18.331	67.893	73.403	1676.6	-0.19551	0.00037887	0.70192	1000.0	0.0010000	5.6824	6.8717	18.331	67.893	73.403	1676.6	-0.19551	0.00037887	0.70192
352.16	66.767	undefined	5.7163	6.9192	18.427	1000.0	0.0010000	5.7163	6.9192	18.427	67.835	73.388	1678.0	-0.19535	0.00037681	0.70265	1000.0	0.0010000	5.7163	6.9192	18.427	67.835	73.388	1678.0	-0.19535	0.00037681	0.70265
352.66	67.523	undefined	5.7502	6.9667	18.523	1000.0	0.0010000	5.7502	6.9667	18.523	67.777	73.372	1679.4	-0.19519	0.00037478	0.70338	1000.0	0.0010000	5.7502	6.9667	18.523	67.777	73.372	1679.4	-0.19519	0.00037478	0.70338
353.16	68.281	undefined	5.7841	7.0142	18.619	1000.0	0.0010000	5.7841	7.0142	18.619	67.719	73.357	1680.8	-0.19503	0.00037277	0.70411	1000.0	0.0010000	5.7841	7.0142	18.619	67.719	73.357	1680.8	-0.19503	0.00037277	0.70411
353.66	69.043	undefined	5.8180	7.0618	18.715	1000.0	0.0010000	5.8180	7.0618	18.715	67.661	73.342	1682.2	-0.19487	0.00037079	0.70483	1000.0	0.0010000	5.8180	7.0618	18.715	67.661	73.342	1682.2	-0.19487	0.00037079	0.70483
354.16	69.807	undefined	5.8518	7.1094	18.810	1000.0	0.0010000	5.8518	7.1094	18.810	67.603	73.326	1683.6	-0.19471	0.00036883	0.70555	1000.0	0.0010000	5.8518	7.1094	18.810	67.603	73.326	1683.6	-0.19471	0.00036883	0.70555
354.66	70.574	undefined	5.8856	7.1570	18.906	1000.0	0.0010000	5.8856	7.1570	18.906	67.546	73.311	1684.9	-0.19455	0.00036689	0.70627	1000.0	0.0010000	5.8856	7.1570	18.906	67.546	73.311	1684.9	-0.19455	0.00036689	0.70627
355.16	71.343	undefined	5.9193	7.2046	19.001	1000.0	0.0010000	5.9193	7.2046	19.001	67.488	73.296	1686.3	-0.19439	0.00036497	0.70699	1000.0	0.0010000	5.9193	7.2046	19.001	67.488	73.296	1686.3	-0.19439	0.00036497	0.70699
355.66	72.115	undefined	5.9530	7.2522	19.096	1000.0	0.0010000	5.9530	7.2522	19.096	67.431	73.281	1687.7	-0.19423	0.00036308	0.70771	1000.0	0.0010000	5.9530	7.2522	19.096	67.431	73.281	1687.7	-0.19423	0.00036308	0.70771
356.16	72.890	undefined	5.9868	7.2999	19.190	1000.0	0.0010000	5.9868	7.2999	19.190	67.373	73.265	1689.1	-0.19408	0.00036121	0.70842	1000.0	0.0010000	5.9868	7.2999	19.190	67.373	73.265	1689.1	-0.19408	0.00036121	0.70842
356.66	73.668	undefined	6.0204	7.3476	19.285	1000.0	0.0010000	6.0204	7.3476	19.285	67.316	73.250	1690.5	-0.19393	0.00035935	0.70914	1000.0	0.0010000	6.0204	7.3476	19.285	67.316	73.250	1690.5	-0.19393	0.00035935	0.70914
357.16	74.448	undefined	6.0541	7.3953	19.379	1000.0	0.0010000	6.0541	7.3953	19.379	67.259	73.235	1691.8	-0.19377	0.00035752	0.70985	1000.0	0.0010000	6.0541	7.3953	19.379	67.259	73.235	1691.8	-0.19377	0.00035752	0.70985
357.66	75.230	undefined	6.0877	7.4430	19.473	1000.0	0.0010000	6.0877	7.4430	19.473	67.202	73.219	1693.2	-0.19362	0.00035572	0.71056	1000.0	0.0010000	6.0877	7.4430	19.473	67.202	73.219	1693.2	-0.19362	0.00035572	0.71056
358.16	76.015	undefined	6.1213	7.4907	19.567	1000.0	0.0010000	6.1213	7.4907	19.567	67.145	73.204	1694.6	-0.19347	0.00035393	0.71127	1000.0	0.0010000	6.1213	7.4907	19.567	67.145	73.204	1694.6	-0.19347	0.00035393	0.71127
358.66	76.803	undefined	6.1548	7.5384	19.661	1000.0	0.0010000	6.1548	7.5384	19.661	67.088	73.188	1695.9	-0.19332	0.00035216	0.71198	1000.0	0.0010000	6.1548	7.5384	19.661	67.088	73.188	1695.9	-0.19332	0.00035216	0.71198
359.16	77.593	undefined	6.1884	7.5862	19.754	1000.0	0.0010000	6.1884	7.5862	19.754	67.032	73.173	1697.3	-0.19317	0.00035041	0.71268	1000.0	0.0010000	6.1884	7.5862	19.754	67.032	73.173	1697.3	-0.19317	0.00035041	0.71268
359.66	78.385	undefined	6.2219	7.6340	19.847	1000.0	0.0010000	6.2219	7.6340	19.847	66.975	73.158	1698.7	-0.19302	0.00034868	0.71339	1000.0	0.0010000	6.2219	7.6340	19.847	66.975	73.158	1698.7	-0.19302	0.00034868	0.71339
360.16	79.180	undefined	6.2553	7.6818	19.940	1000.0	0.0010000	6.2553	7.6818	19.940	66.919	73.142	1700.0	-0.19288	0.00034697	0.71409	1000.0	0.0010000	6.2553	7.6818	19.940	66.919	73.142	1700.0	-0.19288	0.00034697	0.71409
360.66	79.978	undefined	6.2888	7.7296	20.033	1000.0	0.0010000	6.2888	7.7296	20.033	66.862	73.127	1701.4	-0.19273	0.00034528	0.71480	1000.0	0.0010000	6.2888	7.7296	20.033	66.862	73.127	1701.4	-0.19273	0.00034528	0.71480
361.16	80.778	undefined	6.3222	7.7774	20.126	1000.0	0.0010000	6.3222	7.7774	20.126	66.806	73.111	1702.7	-0.19259	0.00034361	0.71550	1000.0	0.0010000	6.3222	7.7774	20.126	66.806	73.111	1702.7	-0.19259	0.00034361	0.71550
361.66	81.580	undefined	6.3556	7.8253	20.218	1000.0	0.0010000	6.3556	7.8253	20.218	66.750	73.096	1704.1	-0.19244	0.00034196	0.71620	1000.0	0.0010000	6.3556	7.8253	20.218	66.750	73.096	1704.1	-0.19244	0.00034196	0.71620
362.16	82.385	undefined	6.3889	7.8731	20.310	1000.0	0.0010000	6.3889	7.8731	20.310	66.694	73.080	1705.4	-0.19230	0.00034032	0.71690	1000.0	0.0010000	6.3889	7.8731	20.310	66.694	73.080	1705.4	-0.19230	0.00034032	0.71690
362.66	83.192	undefined	6.4223	7.9210	20.402	1000.0	0.0010000	6.4223	7.9210	20.402	66.638	73.065	1706.8	-0.19216	0.00033871	0.71760	1000.0	0.0010000	6.4223	7.9210	20.402	66.638	73.065	1706.8	-0.19216	0.00033871	0.71760
363.16	84.002	undefined	6.4556	7.9689	20.494	1000.0	0.0010000	6.4556	7.9689	20.494	66.582	73.049	1708.1	-0.19202	0.00033711	0.71829	1000.0	0.0010000	6.4556	7.9689	20.494	66.582	73.049	1708.1	-0.19202	0.00033711	0.71829
363.66	84.813	undefined	6.4889	8.0168	20.586	1000.0	0.0010000	6.4889	8.0168	20.586	66.527	73.034	1709.5	-0.19188	0.00033552	0.71899	1000.0	0.0010000	6.4889	8.0168	20.586	66.527	73.034	1709.5	-0.19188	0.00033552	0.71899
364.16	85.628	undefined	6.5221	8.0647	20.677	1000.0	0.0010000	6.5221	8.0647	20.677	66.471	73.018	1710.8	-0.19174	0.00033396	0.71968	1000.0	0.0010000	6.5221	8.0647	20.677	66.471	73.018	1710.8	-0.19174	0.00033396	0.71968
364.66	86.444	undefined	6.5553	8.1126	20.768	1000.0	0.0010000	6.5553	8.1126	20.768	66.416	73.003	1712.2	-0.19160	0.00033241	0.72037	1000.0	0.0010000	6.5553	8.1126	20.768	66.416	73.003	1712.2	-0.19160	0.00033241	0.72037
